customer_id,recency,frequency,monetory,segment
CS1182,04-12-2014,24,1749,P0
CS1183,04-03-2015,26,1967,P0
CS1184,16-03-2015,28,1999,P0
CS1185,05-03-2015,27,1801,P0
CS1186,23-01-2015,19,1439,P0
CS1187,22-02-2015,22,1559,P0
CS1188,12-03-2015,16,1010,P0
CS1189,12-01-2015,23,1564,P0
CS1190,04-02-2015,18,1324,P0
CS1191,09-01-2015,21,1522,P0
CS1192,06-02-2015,18,1313,P0
CS1193,06-06-2014,15,953,P2
CS1194,07-03-2015,22,1505,P0
CS1195,24-02-2015,20,1378,P0
CS1196,15-03-2015,23,1559,P0
CS1197,06-10-2014,17,1180,P0
CS1198,05-03-2015,22,1571,P0
CS1199,12-11-2014,20,1344,P0
CS1200,27-09-2014,21,1667,P0
CS1201,23-01-2015,19,1375,P0
CS1202,21-01-2015,20,1331,P0
CS1203,27-01-2015,21,1536,P0
CS1204,28-01-2015,17,1023,P0
CS1205,13-03-2015,17,1103,P0
CS1206,10-10-2014,24,1514,P0
CS1207,05-02-2015,18,1310,P0
CS1208,09-02-2015,15,1000,P2
CS1209,14-03-2015,27,1809,P0
CS1210,08-12-2014,21,1546,P0
CS1211,18-01-2015,18,1218,P0
CS1212,09-10-2014,17,1200,P0
CS1213,09-11-2014,18,1191,P0
CS1214,09-03-2015,19,1289,P0
CS1215,03-11-2014,35,2362,P0
CS1216,28-10-2014,24,1798,P0
CS1217,29-12-2014,20,1431,P0
CS1218,07-02-2015,24,1687,P0
CS1219,12-03-2015,21,1447,P0
CS1220,24-02-2015,9,720,P2
CS1221,04-10-2014,19,1372,P0
CS1222,30-01-2015,21,1585,P0
CS1223,22-01-2015,17,1299,P0
CS1224,21-11-2014,8,578,P2
CS1225,28-01-2015,17,999,P2
CS1226,21-01-2015,18,1213,P0
CS1227,19-02-2015,27,1783,P0
CS1228,29-01-2015,19,1368,P0
CS1229,17-02-2015,19,1194,P0
CS1230,11-03-2015,20,1415,P0
CS1231,13-10-2014,23,1750,P0
CS1232,11-12-2014,20,1452,P0
CS1233,21-11-2014,21,1374,P0
CS1234,12-03-2015,21,1349,P0
CS1235,26-10-2014,22,1507,P0
CS1236,02-02-2015,22,1668,P0
CS1237,28-08-2014,24,1823,P0
CS1238,24-02-2015,26,1808,P0
CS1239,07-07-2014,11,771,P2
CS1240,13-03-2015,30,2126,P0
CS1241,16-02-2015,27,1818,P0
CS1242,16-01-2015,13,943,P2
CS1243,06-02-2015,17,1087,P0
CS1244,26-10-2014,21,1492,P0
CS1245,03-01-2015,19,1321,P0
CS1246,25-05-2014,20,1431,P0
CS1247,16-02-2015,28,1773,P0
CS1248,07-03-2015,17,1172,P0
CS1249,17-12-2014,23,1846,P0
CS1250,04-03-2015,24,1625,P0
CS1251,14-03-2015,14,1035,P2
CS1252,29-11-2014,18,1411,P0
CS1253,01-01-2015,17,1399,P0
CS1254,13-03-2015,21,1599,P0
CS1255,08-01-2015,29,1998,P0
CS1256,15-08-2014,19,1304,P0
CS1257,19-02-2015,15,1050,P0
CS1258,19-02-2015,22,1458,P0
CS1259,29-09-2014,22,1679,P0
CS1260,21-10-2014,26,1941,P0
CS1261,19-12-2014,26,1943,P0
CS1262,22-12-2014,16,1040,P0
CS1263,13-03-2015,14,1096,P2
CS1264,13-03-2015,12,959,P2
CS1265,24-01-2015,14,1128,P2
CS1266,05-02-2015,15,1076,P0
CS1267,26-11-2014,26,1812,P0
CS1268,10-01-2015,27,1946,P0
CS1269,07-01-2015,19,1272,P0
CS1270,17-02-2015,27,1990,P0
CS1271,09-02-2015,25,1683,P0
CS1272,27-02-2015,19,1279,P0
CS1273,17-02-2015,25,1800,P0
CS1274,11-03-2015,20,1381,P0
CS1275,16-03-2015,18,1321,P0
CS1276,17-02-2015,21,1505,P0
CS1277,18-12-2014,17,1142,P0
CS1278,27-11-2014,22,1572,P0
CS1279,28-01-2015,21,1411,P0
CS1280,03-03-2015,21,1262,P0
CS1281,04-03-2015,23,1715,P0
CS1282,04-11-2014,15,1014,P0
CS1283,25-02-2015,22,1683,P0
CS1284,11-03-2015,24,1836,P0
CS1285,19-02-2015,24,1778,P0
CS1286,07-01-2015,21,1511,P0
CS1287,07-09-2014,20,1440,P0
CS1288,08-07-2014,17,1125,P0
CS1289,13-03-2015,19,1355,P0
CS1290,10-12-2014,20,1625,P0
CS1291,16-03-2015,15,1006,P0
CS1292,23-02-2015,18,1307,P0
CS1293,01-01-2015,21,1625,P0
CS1294,10-02-2015,30,2129,P0
CS1295,13-03-2015,22,1487,P0
CS1296,04-03-2015,21,1505,P0
CS1297,11-01-2015,12,765,P2
CS1298,31-01-2015,21,1561,P0
CS1299,06-12-2014,21,1552,P0
CS1300,09-03-2015,18,1309,P0
CS1301,19-02-2015,19,1250,P0
CS1302,14-02-2015,19,1278,P0
CS1303,02-02-2015,22,1634,P0
CS1304,27-12-2014,15,874,P2
CS1305,01-12-2014,16,1031,P0
CS1306,12-03-2015,15,1153,P0
CS1307,02-01-2015,18,1220,P0
CS1308,26-02-2015,21,1487,P0
CS1309,11-01-2015,12,761,P2
CS1310,16-11-2014,15,1103,P0
CS1311,10-02-2015,18,1129,P0
CS1312,26-02-2015,16,1353,P0
CS1313,05-03-2015,29,2072,P0
CS1314,13-10-2013,13,891,P2
CS1315,01-01-2015,15,1030,P0
CS1316,15-02-2015,26,1726,P0
CS1317,26-02-2015,16,1146,P0
CS1318,28-02-2015,22,1693,P0
CS1319,18-12-2014,18,1161,P0
CS1320,04-03-2015,18,1382,P0
CS1321,16-03-2015,21,1668,P0
CS1322,11-03-2015,26,1964,P0
CS1323,11-11-2014,23,1595,P0
CS1324,20-08-2014,24,1611,P0
CS1325,25-08-2014,18,1209,P0
CS1326,20-02-2015,27,1940,P0
CS1327,02-03-2015,23,1525,P0
CS1328,10-08-2014,15,1043,P0
CS1329,14-11-2014,17,1158,P0
CS1330,17-02-2015,23,1750,P0
CS1331,06-03-2015,15,1170,P0
CS1332,06-11-2014,29,2010,P0
CS1333,29-01-2015,8,625,P2
CS1334,27-12-2014,25,1781,P0
CS1335,15-11-2014,17,1157,P0
CS1336,28-11-2014,24,1696,P0
CS1337,08-02-2015,22,1668,P0
CS1338,25-02-2015,18,1436,P0
CS1339,16-01-2015,23,1680,P0
CS1340,10-11-2014,20,1506,P0
CS1341,07-01-2015,13,1038,P2
CS1342,15-03-2015,16,1326,P0
CS1343,08-01-2015,21,1489,P0
CS1344,20-02-2015,25,1638,P0
CS1345,06-12-2014,18,1193,P0
CS1346,30-09-2014,15,1072,P0
CS1347,12-03-2015,30,2000,P0
CS1348,17-01-2015,22,1583,P0
CS1349,28-02-2015,16,1086,P0
CS1350,12-02-2015,27,1996,P0
CS1351,14-11-2014,21,1505,P0
CS1352,04-02-2015,20,1424,P0
CS1353,23-08-2014,19,1408,P0
CS1354,02-02-2014,16,1324,P0
CS1355,27-01-2015,23,1507,P0
CS1356,26-12-2014,24,1740,P0
CS1357,14-10-2014,26,1775,P0
CS1358,05-03-2015,19,1408,P0
CS1359,24-02-2015,16,1145,P0
CS1360,02-02-2015,18,1282,P0
CS1361,27-02-2015,19,1470,P0
CS1362,10-03-2015,23,1703,P0
CS1363,27-08-2014,24,1632,P0
CS1364,09-01-2015,27,1864,P0
CS1365,27-02-2015,19,1225,P0
CS1366,17-02-2015,22,1493,P0
CS1367,08-01-2015,29,2146,P0
CS1368,12-03-2015,15,960,P2
CS1369,29-01-2015,25,1746,P0
CS1370,26-10-2014,26,1864,P0
CS1371,08-10-2014,22,1496,P0
CS1372,11-06-2014,19,1412,P0
CS1373,21-12-2014,30,1967,P0
CS1374,03-10-2014,19,1357,P0
CS1375,09-11-2014,17,1165,P0
CS1376,10-02-2015,25,1512,P0
CS1377,24-10-2014,18,1505,P0
CS1378,19-02-2015,25,1671,P0
CS1379,31-10-2014,15,1134,P0
CS1380,28-02-2015,26,1857,P0
CS1381,20-02-2014,22,1449,P0
CS1382,12-03-2015,25,1845,P0
CS1383,21-11-2014,25,1878,P0
CS1384,04-03-2015,17,964,P2
CS1385,11-03-2015,22,1478,P0
CS1386,04-01-2015,14,998,P2
CS1387,09-11-2014,18,1238,P0
CS1388,14-02-2015,19,1275,P0
CS1389,25-02-2015,18,1189,P0
CS1390,31-01-2015,19,1210,P0
CS1391,12-03-2015,25,1584,P0
CS1392,01-01-2015,17,1227,P0
CS1393,07-12-2014,19,1437,P0
CS1394,11-03-2015,28,2046,P0
CS1395,02-03-2015,22,1704,P0
CS1396,13-02-2015,25,1852,P0
CS1397,01-10-2014,30,2156,P0
CS1398,15-02-2015,20,1354,P0
CS1399,21-02-2015,26,1832,P0
CS1400,30-12-2014,18,1193,P0
CS1401,02-03-2015,30,2023,P0
CS1402,14-02-2015,22,1660,P0
CS1403,01-02-2015,22,1652,P0
CS1404,25-01-2015,28,1900,P0
CS1405,25-02-2015,26,1943,P0
CS1406,02-03-2015,27,1842,P0
CS1407,03-03-2015,28,1916,P0
CS1408,18-07-2014,17,1214,P0
CS1409,20-12-2014,24,1464,P0
CS1410,16-01-2015,15,1160,P0
CS1411,19-01-2015,17,1222,P0
CS1412,01-03-2015,22,1599,P0
CS1413,16-01-2015,19,1396,P0
CS1414,14-10-2014,20,1437,P0
CS1415,01-01-2015,27,1752,P0
CS1416,04-03-2015,20,1513,P0
CS1417,25-01-2015,15,1076,P0
CS1418,17-10-2014,14,1053,P2
CS1419,16-03-2015,27,1915,P0
CS1420,25-12-2014,25,1923,P0
CS1421,16-01-2015,27,1896,P0
CS1422,11-03-2015,15,1211,P0
CS1423,20-01-2015,20,1182,P0
CS1424,06-03-2015,24,1753,P0
CS1425,04-01-2015,23,1688,P0
CS1426,23-02-2015,21,1538,P0
CS1427,09-03-2015,15,985,P2
CS1428,21-12-2014,25,1948,P0
CS1429,04-11-2014,18,1261,P0
CS1430,03-03-2015,21,1440,P0
CS1431,04-03-2015,18,1257,P0
CS1432,13-03-2015,19,1362,P0
CS1433,05-02-2015,20,1468,P0
CS1434,05-03-2015,27,1758,P0
CS1435,29-01-2015,25,1700,P0
CS1436,16-01-2015,14,977,P2
CS1437,16-02-2015,12,880,P2
CS1438,08-02-2015,20,1374,P0
CS1439,10-02-2015,16,1160,P0
CS1440,05-12-2014,22,1577,P0
CS1441,07-01-2015,20,1351,P0
CS1442,08-03-2015,20,1225,P0
CS1443,22-01-2015,24,1876,P0
CS1444,09-02-2015,23,1756,P0
CS1445,14-03-2015,23,1526,P0
CS1446,03-03-2015,15,991,P2
CS1447,11-03-2015,14,1001,P2
CS1448,05-02-2015,16,1239,P0
CS1449,14-03-2015,20,1402,P0
CS1450,20-02-2015,20,1251,P0
CS1451,24-02-2015,22,1715,P0
CS1452,28-11-2014,15,941,P2
CS1453,04-11-2014,22,1640,P0
CS1454,24-02-2015,17,1126,P0
CS1455,14-03-2015,18,1301,P0
CS1456,24-08-2014,20,1363,P0
CS1457,15-12-2014,15,929,P2
CS1458,11-03-2015,20,1422,P0
CS1459,12-11-2014,24,1627,P0
CS1460,03-02-2015,18,1185,P0
CS1461,17-02-2015,23,1567,P0
CS1462,27-01-2015,24,1616,P0
CS1463,08-11-2014,27,1807,P0
CS1464,23-07-2014,21,1613,P0
CS1465,14-03-2015,22,1631,P0
CS1466,22-02-2015,17,1190,P0
CS1467,10-08-2014,18,1233,P0
CS1468,07-03-2015,21,1412,P0
CS1469,07-03-2015,19,1387,P0
CS1470,23-01-2015,22,1649,P0
CS1471,12-03-2015,20,1325,P0
CS1472,08-03-2015,19,1241,P0
CS1473,13-03-2015,25,1695,P0
CS1474,17-12-2014,21,1487,P0
CS1475,20-01-2015,18,1197,P0
CS1476,29-12-2014,20,1430,P0
CS1477,03-03-2015,18,1185,P0
CS1478,16-12-2014,19,1300,P0
CS1479,18-01-2015,20,1567,P0
CS1480,24-12-2014,17,1251,P0
CS1481,23-12-2013,13,876,P2
CS1482,08-02-2015,12,732,P2
CS1483,01-01-2015,24,1774,P0
CS1484,07-12-2014,16,1221,P0
CS1485,22-02-2015,25,1814,P0
CS1486,27-01-2015,19,1377,P0
CS1487,16-02-2015,10,599,P2
CS1488,03-03-2015,23,1595,P0
CS1489,11-02-2015,15,950,P2
CS1490,21-02-2015,25,1788,P0
CS1491,19-12-2014,17,1244,P0
CS1492,07-02-2015,19,1358,P0
CS1493,11-03-2015,21,1531,P0
CS1494,18-11-2014,21,1502,P0
CS1495,26-02-2015,17,1138,P0
CS1496,21-02-2015,18,1222,P0
CS1497,09-03-2015,20,1445,P0
CS1498,19-01-2015,22,1519,P0
CS1499,30-01-2015,26,1879,P0
CS1500,03-10-2014,15,983,P2
CS1501,09-02-2015,26,1965,P0
CS1502,11-03-2015,22,1613,P0
CS1503,15-03-2015,27,1927,P0
CS1504,31-01-2015,13,825,P2
CS1505,23-01-2015,25,1703,P0
CS1506,30-12-2014,18,1307,P0
CS1507,25-02-2015,21,1280,P0
CS1508,02-03-2015,28,1933,P0
CS1509,21-10-2014,20,1383,P0
CS1510,13-03-2015,26,1792,P0
CS1511,25-01-2015,18,1253,P0
CS1512,21-02-2015,20,1239,P0
CS1513,30-11-2014,22,1444,P0
CS1514,06-10-2014,16,1046,P0
CS1515,02-03-2015,22,1742,P0
CS1516,05-12-2014,18,1308,P0
CS1517,21-12-2014,18,1168,P0
CS1518,12-11-2014,19,1151,P0
CS1519,05-03-2015,15,962,P2
CS1520,13-03-2015,18,1162,P0
CS1521,03-09-2014,9,671,P2
CS1522,10-12-2014,14,894,P2
CS1523,13-08-2014,15,928,P2
CS1524,06-11-2014,17,1075,P0
CS1525,17-02-2015,17,1215,P0
CS1526,13-02-2015,19,1324,P0
CS1527,03-03-2015,19,1187,P0
CS1528,13-03-2015,24,1660,P0
CS1529,07-03-2015,25,1823,P0
CS1530,08-07-2014,10,626,P2
CS1531,09-02-2015,25,1793,P0
CS1532,06-06-2014,17,1140,P0
CS1533,01-02-2015,23,1606,P0
CS1534,07-01-2015,20,1379,P0
CS1535,23-12-2014,24,1904,P0
CS1536,09-02-2015,12,753,P2
CS1537,11-03-2015,20,1323,P0
CS1538,14-03-2015,19,1304,P0
CS1539,19-02-2015,20,1371,P0
CS1540,06-02-2015,19,1199,P0
CS1541,26-10-2014,30,2273,P0
CS1542,27-09-2014,27,1808,P0
CS1543,15-03-2015,12,948,P2
CS1544,22-01-2015,19,1334,P0
CS1545,23-02-2015,28,1935,P0
CS1546,29-08-2014,18,1436,P0
CS1547,19-02-2015,22,1600,P0
CS1548,27-02-2015,23,1755,P0
CS1549,19-02-2015,20,1393,P0
CS1550,25-01-2015,22,1583,P0
CS1551,05-12-2014,18,1300,P0
CS1552,14-02-2015,22,1604,P0
CS1553,10-09-2014,20,1444,P0
CS1554,26-10-2014,17,993,P2
CS1555,13-01-2015,23,1571,P0
CS1556,22-02-2015,13,1031,P2
CS1557,03-02-2015,30,1992,P0
CS1558,25-02-2015,23,1500,P0
CS1559,10-03-2015,20,1613,P0
CS1560,26-01-2015,18,1352,P0
CS1561,15-03-2015,15,1082,P0
CS1562,03-03-2014,12,711,P2
CS1563,05-02-2014,17,1108,P0
CS1564,26-02-2015,16,1304,P0
CS1565,16-11-2014,17,1147,P0
CS1566,07-09-2014,21,1491,P0
CS1567,23-02-2015,19,1465,P0
CS1568,11-02-2015,20,1604,P0
CS1569,19-02-2015,15,1074,P0
CS1570,04-12-2014,25,1782,P0
CS1571,13-02-2015,20,1503,P0
CS1572,10-02-2015,15,1085,P0
CS1573,01-02-2015,19,1539,P0
CS1574,09-03-2015,18,1018,P0
CS1575,29-01-2015,26,1611,P0
CS1576,13-12-2014,16,1074,P0
CS1577,25-02-2015,21,1525,P0
CS1578,18-12-2014,16,1125,P0
CS1579,18-02-2015,20,1433,P0
CS1580,07-09-2014,33,2329,P0
CS1581,07-02-2015,23,1501,P0
CS1582,26-02-2015,27,2009,P0
CS1583,15-02-2015,25,1919,P0
CS1584,02-03-2015,21,1512,P0
CS1585,13-12-2014,19,1167,P0
CS1586,02-01-2015,20,1441,P0
CS1587,07-02-2015,27,1900,P0
CS1588,07-03-2015,25,1591,P0
CS1589,01-03-2015,15,1151,P0
CS1590,13-10-2014,16,964,P2
CS1591,13-10-2014,18,1144,P0
CS1592,10-02-2015,19,1215,P0
CS1593,20-02-2015,20,1406,P0
CS1594,21-02-2015,13,901,P2
CS1595,30-11-2014,10,648,P2
CS1596,26-02-2015,19,1342,P0
CS1597,09-01-2015,23,1611,P0
CS1598,05-02-2015,20,1289,P0
CS1599,18-01-2015,15,1028,P0
CS1600,25-02-2015,20,1331,P0
CS1601,27-12-2014,27,1787,P0
CS1602,18-02-2015,20,1401,P0
CS1603,11-11-2014,19,1374,P0
CS1604,01-03-2015,28,1950,P0
CS1605,28-02-2015,27,1685,P0
CS1606,14-03-2015,13,781,P2
CS1607,14-01-2015,19,1384,P0
CS1608,26-01-2015,14,973,P2
CS1609,30-10-2014,20,1375,P0
CS1610,12-02-2015,19,1326,P0
CS1611,01-07-2014,23,1794,P0
CS1612,25-02-2015,26,1759,P0
CS1613,09-11-2014,21,1347,P0
CS1614,06-03-2015,22,1568,P0
CS1615,13-03-2015,20,1419,P0
CS1616,06-03-2015,19,1434,P0
CS1617,02-12-2014,27,1784,P0
CS1618,22-09-2014,13,887,P2
CS1619,05-03-2015,21,1323,P0
CS1620,20-05-2014,16,1320,P0
CS1621,23-02-2015,26,1894,P0
CS1622,16-03-2015,20,1360,P0
CS1623,28-02-2015,26,1777,P0
CS1624,05-02-2015,25,1832,P0
CS1625,11-03-2015,14,950,P2
CS1626,14-01-2015,17,1172,P0
CS1627,29-12-2014,16,1043,P0
CS1628,23-02-2015,21,1456,P0
CS1629,13-03-2015,22,1394,P0
CS1630,15-03-2015,20,1393,P0
CS1631,03-02-2015,18,1223,P0
CS1632,08-03-2015,17,1187,P0
CS1633,26-02-2015,26,1763,P0
CS1634,02-03-2015,15,1044,P0
CS1635,10-12-2014,23,1573,P0
CS1636,07-01-2015,19,1347,P0
CS1637,22-02-2015,22,1496,P0
CS1638,29-07-2014,15,1035,P0
CS1639,04-03-2015,23,1619,P0
CS1640,15-01-2015,19,1232,P0
CS1641,08-03-2015,17,1232,P0
CS1642,10-02-2015,24,1672,P0
CS1643,22-02-2015,27,2087,P0
CS1644,31-12-2014,22,1542,P0
CS1645,16-07-2014,19,1412,P0
CS1646,17-02-2015,17,1185,P0
CS1647,28-02-2015,21,1401,P0
CS1648,20-11-2014,24,1776,P0
CS1649,27-01-2015,16,1197,P0
CS1650,23-11-2014,24,1832,P0
CS1651,02-12-2014,13,927,P2
CS1652,15-03-2015,26,1726,P0
CS1653,19-11-2014,26,1986,P0
CS1654,16-12-2014,19,1384,P0
CS1655,16-02-2015,14,955,P2
CS1656,24-01-2015,14,966,P2
CS1657,11-11-2014,18,1105,P0
CS1658,15-02-2015,20,1389,P0
CS1659,01-02-2015,19,1311,P0
CS1660,24-02-2015,24,1745,P0
CS1661,17-02-2015,32,2051,P0
CS1662,22-02-2015,17,1033,P0
CS1663,10-12-2014,23,1487,P0
CS1664,03-03-2015,25,1954,P0
CS1665,12-10-2014,16,1033,P0
CS1666,25-01-2015,18,1385,P0
CS1667,02-01-2015,20,1313,P0
CS1668,26-01-2015,17,1227,P0
CS1669,01-03-2015,15,1105,P0
CS1670,25-12-2014,16,1191,P0
CS1671,22-12-2014,17,1246,P0
CS1672,05-11-2014,15,1110,P0
CS1673,21-01-2015,26,1784,P0
CS1674,21-01-2015,17,1088,P0
CS1675,06-02-2015,28,2124,P0
CS1676,09-01-2015,28,2088,P0
CS1677,11-01-2015,21,1439,P0
CS1678,31-12-2014,18,1230,P0
CS1679,09-03-2015,28,1976,P0
CS1680,27-01-2015,18,1151,P0
CS1681,23-11-2014,21,1467,P0
CS1682,10-11-2014,15,1075,P0
CS1683,02-03-2015,17,1245,P0
CS1684,07-01-2015,18,1241,P0
CS1685,13-08-2014,22,1569,P0
CS1686,08-01-2015,24,1647,P0
CS1687,20-02-2015,22,1656,P0
CS1688,05-11-2014,17,1167,P0
CS1689,01-01-2015,16,993,P2
CS1690,21-02-2015,19,1354,P0
CS1691,02-01-2015,20,1523,P0
CS1692,15-03-2015,23,1592,P0
CS1693,01-03-2015,12,908,P2
CS1694,10-01-2015,22,1330,P0
CS1695,13-12-2014,32,2174,P0
CS1696,07-11-2014,19,1325,P0
CS1697,29-11-2014,15,1082,P0
CS1698,11-03-2015,19,1397,P0
CS1699,28-02-2015,18,1261,P0
CS1700,12-07-2014,17,1186,P0
CS1701,19-09-2014,18,1190,P0
CS1702,18-02-2015,17,1028,P0
CS1703,06-01-2015,15,890,P2
CS1704,26-02-2015,22,1484,P0
CS1705,28-12-2014,21,1553,P0
CS1706,14-02-2015,23,1681,P0
CS1707,03-02-2015,22,1627,P0
CS1708,04-02-2015,25,1790,P0
CS1709,08-10-2014,23,1629,P0
CS1710,24-06-2014,22,1577,P0
CS1711,21-12-2014,23,1548,P0
CS1712,16-11-2014,21,1411,P0
CS1713,07-03-2015,19,1495,P0
CS1714,16-03-2015,16,1248,P0
CS1715,28-01-2015,20,1314,P0
CS1716,29-03-2014,6,440,P2
CS1717,26-01-2015,14,963,P2
CS1718,29-12-2014,18,1284,P0
CS1719,09-02-2015,17,1166,P0
CS1720,16-03-2015,17,1104,P0
CS1721,24-02-2015,24,1687,P0
CS1722,02-03-2015,19,1320,P0
CS1723,09-02-2015,17,1146,P0
CS1724,15-02-2015,18,1223,P0
CS1725,16-01-2015,27,1778,P0
CS1726,17-02-2015,23,1529,P0
CS1727,05-03-2015,25,1702,P0
CS1728,30-11-2014,26,1896,P0
CS1729,03-03-2015,24,1567,P0
CS1730,05-11-2014,19,1260,P0
CS1731,02-03-2015,17,1145,P0
CS1732,19-02-2015,18,1353,P0
CS1733,06-11-2014,20,1506,P0
CS1734,07-09-2014,18,1235,P0
CS1735,03-03-2015,14,952,P2
CS1736,23-12-2014,24,1653,P0
CS1737,16-12-2014,23,1737,P0
CS1738,09-02-2015,20,1337,P0
CS1739,27-01-2015,17,1199,P0
CS1740,05-02-2015,25,1902,P0
CS1741,20-10-2014,19,1264,P0
CS1742,05-01-2015,19,1326,P0
CS1743,29-09-2014,17,1405,P0
CS1744,03-03-2015,14,1066,P2
CS1745,20-02-2015,22,1615,P0
CS1746,15-06-2014,26,1878,P0
CS1747,12-03-2015,17,1099,P0
CS1748,14-03-2015,22,1498,P0
CS1749,27-02-2015,17,1174,P0
CS1750,04-03-2015,22,1543,P0
CS1751,26-01-2015,23,1504,P0
CS1752,27-02-2015,22,1656,P0
CS1753,20-12-2014,18,1180,P0
CS1754,28-12-2014,17,1177,P0
CS1755,20-12-2014,17,1164,P0
CS1756,24-07-2014,18,1176,P0
CS1757,26-12-2014,31,2238,P0
CS1758,10-01-2015,20,1337,P0
CS1759,29-11-2014,24,1654,P0
CS1760,13-01-2015,21,1570,P0
CS1761,15-03-2015,16,1144,P0
CS1762,14-12-2014,14,1027,P2
CS1763,16-02-2015,24,1689,P0
CS1764,09-02-2015,15,1085,P0
CS1765,22-12-2014,14,1079,P2
CS1766,16-11-2014,19,1067,P0
CS1767,12-02-2015,26,1674,P0
CS1768,11-12-2014,25,1794,P0
CS1769,17-09-2014,20,1356,P0
CS1770,10-03-2015,25,1734,P0
CS1771,04-03-2015,19,1337,P0
CS1772,22-01-2015,18,1348,P0
CS1773,20-12-2014,22,1442,P0
CS1774,12-03-2015,25,1756,P0
CS1775,22-01-2015,13,848,P2
CS1776,17-01-2015,25,1782,P0
CS1777,27-12-2014,14,1044,P2
CS1778,13-02-2015,19,1368,P0
CS1779,02-03-2015,16,1086,P0
CS1780,07-03-2015,19,1265,P0
CS1781,08-09-2014,29,2131,P0
CS1782,30-12-2014,17,1174,P0
CS1783,08-12-2014,17,1210,P0
CS1784,17-11-2014,15,993,P2
CS1785,26-02-2015,29,2103,P0
CS1786,09-02-2015,31,2218,P0
CS1787,05-03-2015,22,1443,P0
CS1788,13-10-2014,24,1548,P0
CS1789,01-03-2015,16,1192,P0
CS1790,17-09-2014,18,1241,P0
CS1791,16-03-2015,21,1607,P0
CS1792,03-01-2015,17,1179,P0
CS1793,28-02-2015,17,1035,P0
CS1794,16-03-2015,24,1764,P0
CS1795,06-11-2014,17,1331,P0
CS1796,31-01-2015,20,1462,P0
CS1797,25-01-2015,23,1393,P0
CS1798,07-12-2014,27,1826,P0
CS1799,03-02-2015,14,966,P2
CS1800,14-03-2015,16,1053,P0
CS1801,24-11-2014,15,994,P2
CS1802,06-03-2015,27,1913,P0
CS1803,09-11-2014,21,1562,P0
CS1804,05-02-2015,19,1247,P0
CS1805,20-02-2015,31,2076,P0
CS1806,30-01-2015,15,1025,P0
CS1807,24-01-2015,26,1732,P0
CS1808,16-12-2014,14,851,P2
CS1809,16-02-2015,21,1500,P0
CS1810,02-02-2015,16,1165,P0
CS1811,28-02-2015,18,1425,P0
CS1812,11-03-2015,27,1783,P0
